1	2   
2	3  
3	4
3	9
9	10
10	14
10	15
15	20
20  	23
23	24
23	25
25	27
27	30
30	31
31	32
32	119
37	38
37	42
38	40
40	41
42	44
44	45
44	46
46	49
49	50
49	51
51	52
52	53
53	120
54	55
55	56
56	57
56	59
57	58
59 	60
59	62
60  	61
62	63
62	64
64	65
65	66
66	67
67	68
69	74
69	99
74	78
78	79
78	88
79	80
80	81
80	82
82	83
83	84
84	85
88	89
89	91
91	92
91	93
93	95
95	97
97	98
99	100
100	101
101	102
102	123
124	103
103	107
107	108
107	110
108	109
110	121
118	37
117	54
125	69
15	117
20	118
62	125
99	124
63	122
















  





  




