1	2	
2	3	
3	5
3	9
5	6
5	7
7	8
9	10
10	15
15	36
15	20
17	18
17	19
20 	23
23	25
25	27
25	26
27	28
27	30
28	33
30	31
31	32
32	119
33	34
36	17
37	42
42	43
42	44
44	46
46	49
49	50
49	51
51	52
52	53
53	120
54	55
55	56
56	57
56	59
57	58
59	62
62	63
62	64
64	65
65	66
66	67
67	68
69	74
69	99
74	75
74	78
75	76
76	77
78	79
78	88
79	80
80	81
80	82
82	83
83	84
83	86
84	85
86	87
88	89
89	91
91	93
93	94
93	95
95	97
99	100
100	101
101	102
102	123
124	103
103	104
103	107
104	105
105	106
107	110
110	121
118	37
125 	69
15 	117
117	54
20	118
62	125
99	124
63	122


































	





